Using TensorFlow backend.
[94mObteniendo datos...[0m
[91m[ERROR] SE FILTRAN LAS REVIEWS DE LOS RESTAURANTES[0m
[91m[ERROR] SE FILTRAN LAS REVIEWS DE LOS USUARIOS[0m
[93m[AVISO] 	Usuarios: 563[0m
[93m[AVISO] 	Restaurantes: 570[0m
[93m[AVISO] Cargando datos generados previamente...[0m
[94mCreando modelo...[0m


##################################################
 MODELV6
##################################################
 modelv60 Básico
##################################################
[93m[AVISO] Existen 11 combinaciones posibles[0m
--------------------------------------------------
a04b6b303c1653d06eb145239a1bbb4a
--------------------------------------------------
[1mlearning_rate: [0m0.1
[1mdropout: [0m1.0
--------------------------------------------------
E	E_TIME	LDECAY	L_LOSS
35	 0.199	 0.474	 1.325
36	 0.198	 0.457	 1.317
37	 0.200	 0.441	 1.309
38	 0.194	 0.425	 1.301
39	 0.192	 0.409	 1.294
40	 0.198	 0.394	 1.286
41	 0.200	 0.378	 1.280
42	 0.199	 0.363	 1.273
43	 0.199	 0.348	 1.267
44	 0.204	 0.333	 1.261
45	 0.202	 0.319	 1.255
46	 0.200	 0.305	 1.250
47	 0.205	 0.291	 1.245
48	 0.200	 0.277	 1.240
49	 0.350	 0.264	 1.235
50	 0.207	 0.251	 1.231
51	 0.200	 0.238	 1.227
52	 0.202	 0.226	 1.223
53	 0.204	 0.214	 1.219
54	 0.202	 0.202	 1.216
55	 0.208	 0.191	 1.212
56	 0.203	 0.180	 1.209
57	 0.205	 0.169	 1.206
58	 0.207	 0.159	 1.203
59	 0.206	 0.149	 1.201
60	 0.203	 0.139	 1.198
61	 0.204	 0.130	 1.196
62	 0.203	 0.121	 1.194
63	 0.208	 0.113	 1.192
64	 0.203	 0.104	 1.190
65	 0.202	 0.097	 1.188
66	 0.209	 0.089	 1.187
67	 0.207	 0.082	 1.185
68	 0.211	 0.075	 1.184
69	 0.209	 0.069	 1.183
70	 0.205	 0.063	 1.182
71	 0.208	 0.057	 1.181
72	 0.204	 0.052	 1.180
73	 0.212	 0.047	 1.179
74	 0.211	 0.042	 1.178
75	 0.211	 0.038	 1.177
76	 0.210	 0.034	 1.177
77	 0.213	 0.030	 1.176
78	 0.229	 0.026	 1.176
79	 0.204	 0.023	 1.175
80	 0.206	 0.020	 1.175
81	 0.213	 0.017	 1.175
82	 0.210	 0.015	 1.174
83	 0.209	 0.013	 1.174
84	 0.212	 0.011	 1.174
85	 0.211	 0.009	 1.174
86	 0.211	 0.008	 1.174
87	 0.213	 0.006	 1.173
88	 0.212	 0.005	 1.173
89	 0.212	 0.004	 1.173
90	 0.212	 0.003	 1.173
91	 0.214	 0.003	 1.173
92	 0.215	 0.002	 1.173
93	 0.215	 0.002	 1.173
94	 0.209	 0.002	 1.173
95	 0.214	 0.001	 1.173
96	 0.225	 0.001	 1.173
97	 0.215	 0.001	 1.173
98	 0.221	 0.001	 1.173
99	 1.060	 0.001	 1.173	38.651	30.000
--------------------------------------------------
76808af13b379efa46f7ec6440f5fc84
--------------------------------------------------
[1mlearning_rate: [0m1e-05
[1mdropout: [0m1.0
--------------------------------------------------
E	E_TIME	LDECAY	L_LOSS
0	 0.637	 1.001	 2.292
1	 0.195	 0.991	 2.024
2	 0.190	 0.980	 2.016
3	 0.184	 0.969	 2.008
4	 0.193	 0.957	 2.000
5	 0.194	 0.945	 1.993
6	 0.190	 0.933	 1.985
7	 0.195	 0.920	 1.978
8	 0.195	 0.907	 1.970
9	 0.189	 0.893	 1.963
10	 0.191	 0.879	 1.956
11	 0.193	 0.865	 1.949
12	 0.187	 0.850	 1.943
13	 0.193	 0.835	 1.936
14	 0.193	 0.820	 1.930
15	 0.192	 0.805	 1.924
16	 0.196	 0.789	 1.918
17	 0.201	 0.773	 1.912
18	 0.196	 0.757	 1.906
19	 0.208	 0.741	 1.900
20	 0.192	 0.725	 1.895
21	 0.206	 0.708	 1.890
22	 0.199	 0.692	 1.885
23	 0.196	 0.675	 1.880
24	 0.195	 0.658	 1.875
25	 0.195	 0.641	 1.870
26	 0.198	 0.624	 1.865
27	 0.197	 0.607	 1.861
28	 0.192	 0.590	 1.857
29	 0.197	 0.574	 1.853
30	 0.193	 0.557	 1.848
31	 0.201	 0.540	 1.845
32	 0.199	 0.523	 1.841
33	 0.201	 0.507	 1.837
34	 0.203	 0.490	 1.834
35	 0.198	 0.474	 1.830
36	 0.201	 0.457	 1.827
37	 0.200	 0.441	 1.824
38	 0.201	 0.425	 1.821
39	 0.201	 0.409	 1.818
40	 0.199	 0.394	 1.815
41	 0.202	 0.378	 1.813
42	 0.202	 0.363	 1.810
43	 0.196	 0.348	 1.807
44	 0.201	 0.333	 1.805
45	 0.204	 0.319	 1.803
46	 0.203	 0.305	 1.801
47	 0.201	 0.291	 1.799
48	 0.200	 0.277	 1.797
49	 0.203	 0.264	 1.795
50	 0.203	 0.251	 1.793
51	 0.201	 0.238	 1.791
52	 0.206	 0.226	 1.790
53	 0.205	 0.214	 1.788
54	 0.202	 0.202	 1.787
55	 0.205	 0.191	 1.785
56	 0.207	 0.180	 1.784
57	 0.205	 0.169	 1.783
58	 0.204	 0.159	 1.782
59	 0.200	 0.149	 1.781
60	 0.204	 0.139	 1.780
61	 0.207	 0.130	 1.779
62	 0.205	 0.121	 1.778
63	 0.206	 0.113	 1.777
64	 0.209	 0.104	 1.776
65	 0.208	 0.097	 1.776
66	 0.204	 0.089	 1.775
67	 0.205	 0.082	 1.774
68	 0.209	 0.075	 1.774
69	 0.196	 0.069	 1.773
70	 0.194	 0.063	 1.773
71	 0.205	 0.057	 1.773
72	 0.208	 0.052	 1.772
73	 0.208	 0.047	 1.772
74	 0.209	 0.042	 1.772
75	 0.205	 0.038	 1.771
76	 0.210	 0.034	 1.771
77	 0.213	 0.030	 1.771
78	 0.218	 0.026	 1.771
79	 0.213	 0.023	 1.770
80	 0.213	 0.020	 1.770
81	 0.210	 0.017	 1.770
82	 0.216	 0.015	 1.770
83	 0.208	 0.013	 1.770
84	 0.208	 0.011	 1.770
85	 0.214	 0.009	 1.770
86	 0.213	 0.008	 1.770
87	 0.211	 0.006	 1.770
88	 0.214	 0.005	 1.770
89	 0.209	 0.004	 1.770
90	 0.207	 0.003	 1.770
91	 0.212	 0.003	 1.769
92	 0.214	 0.002	 1.769
93	 0.218	 0.002	 1.769
94	 0.211	 0.002	 1.769
95	 0.212	 0.001	 1.769
96	 0.214	 0.001	 1.769
97	 0.213	 0.001	 1.769
98	 0.217	 0.001	 1.769
99	 1.044	 0.001	 1.769	43.012	40.000
--------------------------------------------------
70a60f55da492b9fa41eceb17578a5ef
--------------------------------------------------
[1mlearning_rate: [0m5e-06
[1mdropout: [0m1.0
--------------------------------------------------
E	E_TIME	LDECAY	L_LOSS
0	 0.490	 1.001	 2.293
1	 0.189	 0.991	 2.029
2	 0.197	 0.980	 2.025
3	 0.193	 0.969	 2.021
4	 0.185	 0.957	 2.017
5	 0.192	 0.945	 2.013
6	 0.193	 0.933	 2.009
7	 0.194	 0.920	 2.005
8	 0.193	 0.907	 2.001
9	 0.190	 0.893	 1.998
10	 0.190	 0.879	 1.994
11	 0.194	 0.865	 1.990
12	 0.189	 0.850	 1.987
13	 0.191	 0.835	 1.983
14	 0.199	 0.820	 1.980
15	 0.196	 0.805	 1.977
16	 0.190	 0.789	 1.973
17	 0.190	 0.773	 1.970
18	 0.178	 0.757	 1.967
19	 0.170	 0.741	 1.964
20	 0.191	 0.725	 1.961
21	 0.194	 0.708	 1.958
22	 0.199	 0.692	 1.955
23	 0.195	 0.675	 1.953
24	 0.198	 0.658	 1.950
25	 0.194	 0.641	 1.947
26	 0.197	 0.624	 1.945
27	 0.191	 0.607	 1.942
28	 0.192	 0.590	 1.940
29	 0.197	 0.574	 1.938
30	 0.193	 0.557	 1.935
31	 0.196	 0.540	 1.933
32	 0.197	 0.523	 1.931
33	 0.205	 0.507	 1.929
34	 0.196	 0.490	 1.927
35	 0.198	 0.474	 1.925
36	 0.200	 0.457	 1.923
37	 0.203	 0.441	 1.922
38	 0.204	 0.425	 1.920
39	 0.200	 0.409	 1.918
40	 0.201	 0.394	 1.917
41	 0.199	 0.378	 1.915
42	 0.197	 0.363	 1.914
43	 0.201	 0.348	 1.912
44	 0.201	 0.333	 1.911
45	 0.204	 0.319	 1.910
46	 0.202	 0.305	 1.909
47	 0.201	 0.291	 1.907
48	 0.202	 0.277	 1.906
49	 0.203	 0.264	 1.905
50	 0.194	 0.251	 1.904
51	 0.204	 0.238	 1.903
52	 0.200	 0.226	 1.902
53	 0.208	 0.214	 1.901
54	 0.197	 0.202	 1.901
55	 0.207	 0.191	 1.900
56	 0.200	 0.180	 1.899
57	 0.203	 0.169	 1.898
58	 0.202	 0.159	 1.898
59	 0.208	 0.149	 1.897
60	 0.207	 0.139	 1.897
61	 0.206	 0.130	 1.896
62	 0.205	 0.121	 1.896
63	 0.204	 0.113	 1.895
64	 0.206	 0.104	 1.895
65	 0.203	 0.097	 1.894
66	 0.219	 0.089	 1.894
67	 0.206	 0.082	 1.894
68	 0.205	 0.075	 1.893
69	 0.213	 0.069	 1.893
70	 0.199	 0.063	 1.893
71	 0.205	 0.057	 1.893
72	 0.207	 0.052	 1.892
73	 0.208	 0.047	 1.892
74	 0.204	 0.042	 1.892
75	 0.212	 0.038	 1.892
76	 0.372	 0.034	 1.892
77	 0.209	 0.030	 1.892
78	 0.214	 0.026	 1.891
79	 0.254	 0.023	 1.891
80	 0.210	 0.020	 1.891
81	 0.206	 0.017	 1.891
82	 0.212	 0.015	 1.891
83	 0.213	 0.013	 1.891
84	 0.214	 0.011	 1.891
85	 0.213	 0.009	 1.891
86	 0.209	 0.008	 1.891
87	 0.207	 0.006	 1.891
88	 0.206	 0.005	 1.891
89	 0.218	 0.004	 1.891
90	 0.221	 0.003	 1.891
91	 0.216	 0.003	 1.891
92	 0.219	 0.002	 1.891
93	 0.222	 0.002	 1.891
94	 0.211	 0.002	 1.891
95	 0.213	 0.001	 1.891
96	 0.885	 0.001	 1.891
97	 0.293	 0.001	 1.891
98	 0.223	 0.001	 1.891
99	 1.067	 0.001	 1.891	46.196	43.000
--------------------------------------------------
a48e99c073d81432f6c417d383ce5c17
--------------------------------------------------
[1mlearning_rate: [0m1e-06
[1mdropout: [0m1.0
--------------------------------------------------
E	E_TIME	LDECAY	L_LOSS
0	 0.526	 1.001	 2.294
1	 0.193	 0.991	 2.033
2	 0.191	 0.980	 2.032
3	 0.192	 0.969	 2.031
4	 0.199	 0.957	 2.030
5	 0.184	 0.945	 2.029
6	 0.184	 0.933	 2.029
7	 0.187	 0.920	 2.028
8	 0.195	 0.907	 2.027
9	 0.191	 0.893	 2.026
10	 0.191	 0.879	 2.026
11	 0.188	 0.865	 2.025
12	 0.195	 0.850	 2.024
13	 0.194	 0.835	 2.023
14	 0.189	 0.820	 2.023
15	 0.192	 0.805	 2.022
16	 0.192	 0.789	 2.021
17	 0.196	 0.773	 2.021
18	 0.191	 0.757	 2.020
19	 0.196	 0.741	 2.019
20	 0.202	 0.725	 2.019
21	 0.191	 0.708	 2.018
22	 0.190	 0.692	 2.017
23	 0.214	 0.675	 2.017
24	 0.342	 0.658	 2.016
25	 0.213	 0.641	 2.016
26	 0.202	 0.624	 2.015
27	 0.196	 0.607	 2.015
28	 0.202	 0.590	 2.014
29	 0.198	 0.574	 2.013
30	 0.220	 0.557	 2.013
31	 0.189	 0.540	 2.013
32	 0.195	 0.523	 2.012
33	 0.207	 0.507	 2.012
34	 0.204	 0.490	 2.011
35	 0.196	 0.474	 2.011
36	 0.197	 0.457	 2.010
37	 0.201	 0.441	 2.010
38	 0.204	 0.425	 2.010
39	 0.210	 0.409	 2.009
40	 0.198	 0.394	 2.009
41	 0.210	 0.378	 2.008
42	 0.205	 0.363	 2.008
43	 0.199	 0.348	 2.008
44	 0.201	 0.333	 2.008
45	 0.208	 0.319	 2.007
46	 0.214	 0.305	 2.007
47	 0.209	 0.291	 2.007
48	 0.204	 0.277	 2.006
49	 0.200	 0.264	 2.006
50	 0.210	 0.251	 2.006
51	 0.197	 0.238	 2.006
52	 0.206	 0.226	 2.006
53	 0.203	 0.214	 2.005
54	 0.206	 0.202	 2.005
55	 0.207	 0.191	 2.005
56	 0.207	 0.180	 2.005
57	 0.205	 0.169	 2.005
58	 0.202	 0.159	 2.005
59	 0.210	 0.149	 2.004
60	 0.204	 0.139	 2.004
61	 0.209	 0.130	 2.004
62	 0.205	 0.121	 2.004
63	 0.204	 0.113	 2.004
64	 0.208	 0.104	 2.004
65	 0.214	 0.097	 2.004
66	 0.211	 0.089	 2.004
67	 0.205	 0.082	 2.004
68	 0.213	 0.075	 2.004
69	 0.211	 0.069	 2.003
70	 0.215	 0.063	 2.003
71	 0.211	 0.057	 2.003
72	 0.205	 0.052	 2.003
73	 0.215	 0.047	 2.003
74	 0.204	 0.042	 2.003
75	 0.213	 0.038	 2.003
76	 0.227	 0.034	 2.003
77	 0.211	 0.030	 2.003
78	 0.212	 0.026	 2.003
79	 0.233	 0.023	 2.003
80	 0.212	 0.020	 2.003
81	 0.210	 0.017	 2.003
82	 0.211	 0.015	 2.003
83	 0.230	 0.013	 2.003
84	 0.213	 0.011	 2.003
85	 0.217	 0.009	 2.003
86	 0.217	 0.008	 2.003
87	 0.214	 0.006	 2.003
88	 0.213	 0.005	 2.003
89	 0.224	 0.004	 2.003
90	 0.218	 0.003	 2.003
91	 0.234	 0.003	 2.003
92	 0.217	 0.002	 2.003
93	 0.216	 0.002	 2.003
94	 0.216	 0.002	 2.003
95	 0.221	 0.001	 2.003
96	 0.217	 0.001	 2.003
97	 0.218	 0.001	 2.003
98	 0.335	 0.001	 2.003
99	 1.045	 0.001	 2.003	49.741	49.000
